Plan,Category,Item,Detail
瘋大港,售票平台3.5%,適用期間：2025/12/16~2025/12/18、拓元售票,活動回饋適用期間僅限2025/12/16~2025/12/18
瘋大港,周邊商品預購3.5%,適用期間：2025/12/16~2026/3/23、大港開唱周邊商品預購,Apple媒體服務內容含 App Store / Apple Music / iCloud 等服務，不含 Apple Store 之交易
瘋大港,指定高雄住宿3.5%,適用期間：2025/12/16~2026/3/23、【城市商旅】真愛館、駁二館、麗尊酒店、帕可麗酒店、【和逸飯店】高雄中山館、【旅居文旅】一心館、七賢館、亞灣館、【秝芯旅店】駁二館、六合館、鈞怡大飯店、【夏優旅居】駁二館、【華園大飯店】草衙館、【捷絲旅】高雄中正館,"1. 消費回饋不含以下類型之商品或服務：黃金、白銀等貴金屬、珠寶、遊戲點數、各類實體或電子票券（如百貨禮券、餐飲券、電影票券、住宿券、提貨券）。

2. 不適用回饋之商店名單舉例：遊戲點數旗艦店、蝦皮票券服務館內所有品項及賣場…等，包含但不限於以上商店。持卡人於上列之賣場結帳刷CUBE卡，系統將自動判定該筆訂單總金額不符合CUBE卡「玩數位」權益方案回饋資格，該賣場之所有消費(含一般商品)僅將回饋0.3%小樹點(信用卡)。"
瘋大港,旅遊平台3.5%,適用期間：2025/12/16~2026/3/23、Klook,
瘋大港,指定交通3.5%,適用期間：2026/2/21~2026/3/23、台灣高鐵、台灣鐵路局,"1. 高鐵消費回饋通路包含：高鐵網站、高鐵APP、高鐵臨櫃、高鐵自動售票機，不含補票、車上推車消費; 實際回饋以本行系統判定為高鐵消費為準。

2. 本活動以實際成功購票計算，以活動期間內「消費日」及「實際刷卡消費金額」為計算基準。若付款失敗、取消交易、退票等，該筆高鐵刷卡金額將不予回饋。 1. 台鐵消費回饋通路包含：台鐵網站、台鐵APP、台鐵臨櫃、台鐵自動售票機購買車票，不含補票、車上推車消費、票券加值、台鐵站內消費; 實際回饋以本行系統判定為台鐵購票消費為準。

2. 本活動以實際成功購票計算，以活動期間內「消費日」及「實際刷卡消費金額」為計算基準。若付款失敗、取消交易、退票等，該筆台鐵刷卡金額將不予回饋。"
瘋大港,周邊商品10%,適用期間：2026/3/21~2026/3/23、大港開唱現場周邊商品購買,
瘋大港,大港開唱周邊商家10%,適用期間：2026/3/21~2026/3/23、大港周邊指定星巴克門市、大港倉、棧二庫、【左腳右腳經典按摩會館】陽明會館、新田會館、自由會館、ChargeSPOT、詳細活動通路資訊敬請期待！,
玩數位,AI工具,ChatGPT、Canva、Claude、Cursor、Duolingo、Gamma、Gemini、Notion、Perplexity、Speak,
玩數位,數位/串流平台,Apple 媒體服務、Google Play、Disney+、Netflix、Spotify、YouTube Premium、Max,Apple媒體服務內容含 App Store / Apple Music / iCloud 等服務，不含 Apple Store 之交易
玩數位,網購平台,蝦皮購物、momo購物網、PChome 24h購物(不含儲值及電子票券)、小樹購(不含電子票券),"1. 消費回饋不含以下類型之商品或服務：黃金、白銀等貴金屬、珠寶、遊戲點數、各類實體或電子票券（如百貨禮券、餐飲券、電影票券、住宿券、提貨券）。

2. 不適用回饋之商店名單舉例：遊戲點數旗艦店、蝦皮票券服務館內所有品項及賣場…等，包含但不限於以上商店。持卡人於上列之賣場結帳刷CUBE卡，系統將自動判定該筆訂單總金額不符合CUBE卡「玩數位」權益方案回饋資格，該賣場之所有消費(含一般商品)僅將回饋0.3%小樹點(信用卡)。 1.PChome 24h購物各通路含線上購物、24h購物、手機APP、PChome 24h書店，不含商店街、支付連PChomePay、海外代購及PChome旅遊，亦不包含使用任何平台代扣繳費、購買廣告等。

2.PChome 24h購物消���回饋排除PChome儲值及電子票券商品之整筆訂單消費。即持卡人於PChome 24h購物之購物車結帳刷CUBE卡且該筆購物車內商品含有PChome儲值或電子票券等排除商品，系統將自動判定該筆訂單總金額不符合CUBE卡「玩數位」權益方案回饋資格，訂單之所有商品消費(含一般商品)僅將回饋0.3%小樹點(信用卡)回饋。

3.一般商品建議與排除商品(PChome儲值及電子票券)分開購物車結帳，以確保消費能獲得「玩數位」權益方案指定消費回饋。 1.小樹購消費回饋排除電子票券商品之整筆訂單消費。即持卡人於小樹購之購物車結帳刷CUBE卡且該筆購物車內商品含有電子票券排除商品，系統將自動判定該筆訂單總金額不符合CUBE卡「玩數位」權益方案回饋資格，訂單之所有商品消費(含一般商品)僅將回饋0.3%小樹點(信用卡)回饋。

2.一般商品建議與排除商品(電子票券)分開購物車結帳，以確保消費能獲得「玩數位」權益方案指定消費回饋。"
